Word,Hinglish Translation
dangler,kaamachor
cushion,takiya
gadgets,gaijet
darkest,andhere
total,kul
charcaol,lakadee ka koyala
bio,tha
festival,tyauhaar
hats,topee
baked,bek kiya hua
mulitcoloured,mulitcholouraid
hudson,hadasan
bback,bbachk
knit,bunee
sporty,sportee
kurtis,kurtiyaan
dolls,gudiya
parry,bachaav
ocn,ochn
multicoured,saarang
bluer,neela
champion,chaimpiyan
tri,teen
waist,kamar
bolster,silendar
briefcases,breephakes
canisters,kanastaron
grey,dhoosar
mist,dhundh
creative,rachanaatmak
slipper,chappal
ombrex,ombraix
fern,farn
clothing,kapade
diesel,deezal
micronet,michronait
cleansers,saphaee
spoons,chammach
micro,sookshm
wrap,chaadar
ballerinas,fes
organic,jaivik
tanks,taink
green,hara
pacific,shaant
hazle,use banaana
burgndy,baragandee
gossamer,patala
rainbow,indradhanush
powder,paudar
tablets,goliyaan
pouches,pauch
diyas,deeye
flared,bhadaka
throws,phenkata
maison,makaan
pencils,pensil
sargasso,sargaaso
mulsticoloured,saarang
vibrant,jeevant
tuquoise,firoza
devil,shaitaan
kitsch,kich
brogues,broguais
duvet,narm
prach,dhool
nude,nanga
sleepsuits,slaiaipsuits
pruple,bainganee
nut,akharot
navvy,beladaar
aquablue,paanee jaisa neela
careaccessories,charaiachchaissoriais
non,nahin
embellished,alankrt
barrel,bairal
full,poorn
thongs,havaee chappalen
angrakha,angarakha
rimless,bina rim
taupe,taupai
brilliant,pratibhaashaalee
plated,pleted
grape,angoor
mango,maanago
leaf,pattee
iceberg,himashail
showpieces,sho pees
bird,chidiya
whiite,whiitai
artichoke,haathee chak
emberglow,aimbairglow
alluring,manohar
clear,spasht
azalea,azalai
ghagras,ghagaraas
vermilion,sindoor
cranberry,krainaberee
dried,sookha
stick,chhadee
office,kaaryaalay
monaco,monaako
windsor,vindasar
ribbon,pheeta
nursing,narsing
seam,seevan
gold,sona
sand,ret
bracelet,kangan
ons,yoo.es
trays,tre
eyewear,chashma
infants,shishuon
bue,bail
brick,eent
fusia,fusi
yelow,peela
sunrise,sooryoday
cardinal,kaardinal
kits,kit
melajnge,mailajngai
unstitched,bina sile
kurta,kurata
glitter,chamak
turqoise,firoza
quarry,shikaar
megenta,thaileeshaah
portfolio,portapholiyo
fitted,phit
fashion,phaishan
from,se
blossom,khilana
greeb,gareeb
chinablue,chhinabluai
gereen,gairaiain
handkerchiefs,roomaal
antra,doosara
meganthi,magaanthi
sweat,paseena
pullovers,svetar
everyday,har din
graduated,snaatak kee upaadhi praapt
gym,jim
skirt,skart
acrylic,aikrelik
dresses,kapade
sandal,chappal
living,jeevit
tablet,golee
blackd,blachkd
eu,mujhe
ear,kaan
bohemian,boheniya ka
dungaree,dungaraiai
beanies,baianiais
tinted,ranga hua
ethnic,sanjaati vishayak
capri,kaapree
smart,hoshiyaar
shamrock,ek prakaar kee tinapatiya ghaas
mustar,sarason
yelloiw,peela
newfalsa,naiwfals
foldable,tah
panty,paintee
chinos,cheenee
girls,ladakiyaan
pretend,naatak
vests,vaaskat
military,sainy
raspberry,rasabharee
bllue,neela
pace,gati
mouve,chaal
spicy,masaaledaar
dazzling,chakaachaundha
raisin,kishamish
occasion,avasar
push,dhakka den
pleated,chunnatadaar
dark,andhera
magenta,maijenta
ochre,geroo
angel,devadoot
sunset,soory ka ast hona
warm,garam
old,puraana
tomato,tamaatar
while,jabaki
empire,saamraajy
mellow,madhur
stiched,sile
traditional,paramparaagat
decorative,sajaavatee
forestgreen,hare van
turq,turkee
evening,sandhya
bege,bej
bly,rahana
lights,deepak
ggreen,ggraiain
champange,chhampangai
eye,aankh
regular,niyamit
bead,manaka
fresheners,phreshanar
oive,aaraam
reg,raig
salsa,saalsa
bluenight,neelee raat
water,paanee
siver,seevar
wall,deevaar
rainy,barasaatee
dull,kunthit
lavendar,laivendar
leotard,tendua
tubes,tyoobon
stitched,sile
plum,ber
rinsed,rinsaid
greenorange,graiainorangai
creamy,malaeedaar
aged,vrddh
salmon,sailman
silk,resham
toilet,shauchaalay
mangalsutra,mangalasootr
pumps,pamp
ppe,peepeeee
georgette,jorjet
bars,salaakhon
ambermatic,ambairmatich
blush,sharamaana
colognes,kolon
champ,khet
palace,mahal
mutlicolored,saarang
french,phrench
vine,vah aa raha hai
ask,poochhana
handbag,haindabaig
gblue,gbluai
wine,vain
crew,karmee dal
swag,loot
teak,teek
tortilla,tortila
graphic,graaphik
mirrored,mirar
backpack,baig
mustard,sarason
indigo,neel
pants,paint
skin,tvacha
slate,slet
nile,neel
top,oopar
lava,laava
round,gol
brandy,braandee
ble,ban gaya
boyfriend,premee
rucksacks,ruchksachks
fuchia,phyooshiya
rouge,laal
carbon,kaarban
berry,ber
neo,nav
makeup,shrngaar
marshmallow,maarshamailo
sugar,cheenee
morocco,morakko
melamge,milange
personal,nijee
rhodium,rodiyaam
cheesecloth,jaalee
tortoiseshell,tortoisaishaill
three,teen
and,tatha
casual,aakasmik
stone,patharee
cardigans,kaardigan
transparent,paaradarshak
supplies,aapoorti
pale,peela
wristlets,wristlaits
rama,raam
aster,astair
coins,sikke
beginners,shuruaatee
jhablas,tum bolo
bowls,katore
bed,bistar
jeans,jeens
glod,keechad
bags,baig
not,nahin
asphalt,daamar
multicolured,multicholuraid
idols,moortiyon
port,bandaragaah
terry,teree
jugs,katore
readers,paathakon
fish,machhalee
kitten,billee ka bachcha
barn,bachche
party,paartee
pearl,motee
mars,maarch
saddle,saidal
ties,sambandhon
stoned,sharaabee
burned,jala diya
carpets,kaaleen
oils,telon
design,dizain
chrysanthemum,guladaudee
varied,vibhinn
darkenthra,darkainthr
cotton,kapaas
puce,tukada
slv,eselavee
colony,kolonee
serveware,sairvaiwarai
moderate,udaaravaadee
radiant,deeptimaan
orchid,aarkid
metalliuc,dhaatu ka
forks,kaante
miniature,laghu
silver,chaandee
night,raat
lemon,neemboo
pooourple,pooourplai
mediumgrey,madhyam gre
mustured,sarason
pweter,pwaitair
orrange,orrangai
cool,thanda
anise,motee saumf
huggies,huggiais
mugs,mag
wear,pahan lena
amethyst,billaur
sweatshirt,svet-shart
for,ke liye
jean,jeens
greyish,bhoora
shoe,joota
calypso,kelipso
na,par
women,mahilaon
camo,chamo
tumbleweed,tumblaiwaiaid
may,ho sakata hai
vary,alag-alag
balck,balchk
velvet,makhamalee
paach,paachh
ceylon,lanka
checks,chekon
olivine,oleevain
arctic,aarkatik
multocoloured,saarang
drinkware,drinkwarai
knitted,buna hua
scarves,skaarph
cora,kora
range,renj
gey,samalaingik
paled,palaid
broad,vyaapak
towel,tauliya
glossy,chamakadaar
blule,blulai
diapering,daayaparing
mulicolour,bahuranga
lace,pheeta
preppy,praippy
foil,pannee
aztec,eztek
foot,pair
bag,baig
mgrey,mghaii
twill,taveel
captain,kaptaan
dirty,ganda
khakii,khaakee
bluee,bluaiai
overnighters,ovairnightairs
embroidery,kadhaee
claret,klairat
pista,dhaavan path
amazon,veeraangana
real,asalee
conch,shankh
blacks,ashveton
monks,bhikshuon
stole,chura liya
aqua,paanee
racing,daud
flops,phlop
shown,pata chala
flame,jyoti
combi,kombee
purist,shuddhataavaadee
grainy,daanedaar
slim,patala
masters,svaamee
kanakti,kanakatee
tshirt,teeshart
play,khel
traditionaljewellery,paaramparik aabhooshan
bleach,bleech
grit,dhairy
beads,manaka
absolute,poorn
clip,klip
performance,pradarshan
pickle,achaar
wearable,pahanane yogy
amber,ambar
bottoms,neeche
paradise,svarg
live,laiv
oliver,olivar
oolive,oolivai
quick,sheeghr
joggers,jahaan joging
salwar,salavaar
is,hai
slip,parchee
others,any
breasted,chhaatee
running,chal raha hai
fuchsia,phyooshiya
carnation,gahare laal rang
maroo,ek aur
prt,parat
garnish,gaarnish
mouse,chooha
thong,petee
bar,baar
pinnk,gulaabee
custard,kastard
fushia,phyooshiya
games,khel
freesia,fraiaisi
oil,tel
wet,bheega hua
tblue,tbluai
toners,tonar
waterproof,jalarodhak
brazilian,braajeel
stilettos,stilaittos
brwon,bhoora
beiege,baiiaigai
vivid,jvalant
rio,nadee
chiffon,shiphon
chinon,cheenon
reptilian,saanp
brief,sankshipt karen
passport,paasaport
navy,nausena
vast,vyaapak
tiepins,tiaipins
electricblue,bijalee kee roshanee sa neela
perky,diler
pecan,ek prakaar ka akharot
khakhi,khaakhee
turqouise,firoza
auburn,sunahara bhoora rang
limegreen,peela hara rang
dim,nahin
trolley,traalee
headwear,haiadwaiar
polyurethane,polyuraithanai
utility,upayogita
belts,belt
one,ek
medieval,madhyakaaleen
adobe,edob
cement,seement
reddish,laal
tort,kek
virtual,vaastavik
bath,snaan
modern,aadhunik
decor,asabaab
bleached,prakshaalit
nevy,tum nahin
cedar,devadaar
tile,tail
splash,chhap chhap
roses,gulaab ke phool
seersucker,saiairsuchkair
toffee,tofee
walnut,akharot
grindle,grindlai
poseidon,posaiidon
frost,thandh
maritime,samudree
health,svaasthy
chenille,seneel
blend,mishran
speckle,dhabba
lunch,dopahar ka bhojan
poppy,posta
spring,vasant
blur,kalank
anthracite,enthresait
greenish,hare
ulti,ulatee
lightly,halake se
cushioned,gaddedaar
resistant,pratirodhee
polysilk,paalee resham
tumblers,gilaas
ornage,santara
turguoise,firoza
azul,neela
typographic,mudran
asoorted,asoortaid
bluish,neela sa
gear,giyar
parakeet,tota
cog,daant
fibre,resha
toiletry,prasaadhan
gown,gaun
hiking,lambee paidal yaatra
camel,oont
robots,robot
fancy,kalpana
dupattas,dupattaas
italian,itaalavee
lapis,paraton
browns,bhoore
mellange,ke beech
maroona,maroon
milk,doodh
footwear,joote
walking,ghoomana
overalls,chauga
offwhite,dhoomil safed
stripe,pattee
image,chhavi
newhotpink,naiwhotpink
stockings,moza
precious,keematee
teal,teel
paprika,laal shimala mirch
iceblue,neela barph
chambray,shaimbre
furnishings,asabaab
cocktail,kokatel
chandbali,chaandabaalee
chain,janjeer
blouses,blauj
link,sampark
nine,nau
forest,jangal
fashionjewellerysets,phaishan ke gahane set
blakc,blakch
block,khand maitha
shimmer,timatimaana
aassorted,aassortaid
brow,bhaunh
tgreen,tgraiain
millennial,hazaar saal ka
bacterial,baikteeriyal
proof,saboot
collar,kolar
